"","genes","cluster"
"lpl6_c_DN0_c1_g1_i11","lpl6_c_DN0_c1_g1_i11",1
"lpl6_c_DN0_c15_g4_i1","lpl6_c_DN0_c15_g4_i1",1
"lpl6_c_DN19_c0_g1_i5","lpl6_c_DN19_c0_g1_i5",1
"lpl6_c_DN227_c0_g1_i3","lpl6_c_DN227_c0_g1_i3",1
"lpl6_c_DN285_c0_g1_i11","lpl6_c_DN285_c0_g1_i11",2
"lpl6_c_DN285_c0_g1_i3","lpl6_c_DN285_c0_g1_i3",2
"lpl6_c_DN249_c0_g1_i4","lpl6_c_DN249_c0_g1_i4",1
"lpl6_c_DN233_c0_g1_i8","lpl6_c_DN233_c0_g1_i8",1
"lpl6_c_DN261_c0_g1_i1","lpl6_c_DN261_c0_g1_i1",1
"lpl6_c_DN6850_c0_g1_i2","lpl6_c_DN6850_c0_g1_i2",1
"lpl6_c_DN1032_c0_g1_i3","lpl6_c_DN1032_c0_g1_i3",1
"lpl6_c_DN1001_c0_g1_i1","lpl6_c_DN1001_c0_g1_i1",1
"lpl6_c_DN422_c0_g1_i3","lpl6_c_DN422_c0_g1_i3",1
"lpl6_c_DN147_c0_g1_i2","lpl6_c_DN147_c0_g1_i2",1
"lpl6_c_DN124_c0_g1_i9","lpl6_c_DN124_c0_g1_i9",1
"lpl6_c_DN131_c0_g1_i11","lpl6_c_DN131_c0_g1_i11",1
"lpl6_c_DN199_c0_g1_i11","lpl6_c_DN199_c0_g1_i11",1
"lpl7_a_DN3720_c0_g1_i10","lpl7_a_DN3720_c0_g1_i10",1
"lpl7_a_DN93_c0_g1_i1","lpl7_a_DN93_c0_g1_i1",3
"lpl7_a_DN68_c0_g1_i1","lpl7_a_DN68_c0_g1_i1",1
"lpl7_a_DN2_c1_g1_i21","lpl7_a_DN2_c1_g1_i21",1
"lpl7_a_DN7_c1_g1_i22","lpl7_a_DN7_c1_g1_i22",1
"lpl7_a_DN28_c0_g1_i23","lpl7_a_DN28_c0_g1_i23",1
"lpl7_a_DN28_c0_g1_i29","lpl7_a_DN28_c0_g1_i29",1
"lpl7_a_DN28_c0_g1_i48","lpl7_a_DN28_c0_g1_i48",1
"lpl7_a_DN95_c0_g1_i5","lpl7_a_DN95_c0_g1_i5",1
"lpl7_a_DN42_c0_g1_i7","lpl7_a_DN42_c0_g1_i7",1
"lpl7_a_DN69_c0_g1_i21","lpl7_a_DN69_c0_g1_i21",1
"lpl7_a_DN32_c0_g1_i12","lpl7_a_DN32_c0_g1_i12",1
"lpl7_a_DN17_c0_g1_i14","lpl7_a_DN17_c0_g1_i14",1
"lpl7_a_DN25215_c0_g1_i2","lpl7_a_DN25215_c0_g1_i2",1
"lpl7_a_DN44511_c0_g1_i1","lpl7_a_DN44511_c0_g1_i1",1
"lpl7_a_DN2358_c0_g3_i4","lpl7_a_DN2358_c0_g3_i4",1
"lpl7_a_DN170_c0_g1_i6","lpl7_a_DN170_c0_g1_i6",1
"lpl7_b_DN18_c0_g1_i6","lpl7_b_DN18_c0_g1_i6",1
"lpl7_b_DN46_c0_g1_i4","lpl7_b_DN46_c0_g1_i4",1
"lpl7_b_DN36_c0_g1_i2","lpl7_b_DN36_c0_g1_i2",1
"lpl7_b_DN36_c0_g1_i29","lpl7_b_DN36_c0_g1_i29",1
"lpl7_b_DN14_c0_g1_i11","lpl7_b_DN14_c0_g1_i11",1
"lpl7_b_DN14_c0_g1_i6","lpl7_b_DN14_c0_g1_i6",1
"lpl7_b_DN87_c1_g1_i1","lpl7_b_DN87_c1_g1_i1",1
"lpl7_b_DN4_c0_g1_i4","lpl7_b_DN4_c0_g1_i4",1
"lpl7_b_DN30_c0_g1_i32","lpl7_b_DN30_c0_g1_i32",1
"lpl7_b_DN9_c0_g1_i20","lpl7_b_DN9_c0_g1_i20",1
"lpl7_b_DN6_c0_g1_i19","lpl7_b_DN6_c0_g1_i19",1
"lpl7_b_DN83_c0_g1_i6","lpl7_b_DN83_c0_g1_i6",1
"lpl7_b_DN0_c0_g1_i2","lpl7_b_DN0_c0_g1_i2",1
"lpl7_b_DN0_c0_g1_i6","lpl7_b_DN0_c0_g1_i6",1
"lpl7_b_DN0_c1_g1_i8","lpl7_b_DN0_c1_g1_i8",1
"lpl7_b_DN13_c0_g1_i6","lpl7_b_DN13_c0_g1_i6",1
"lpl7_b_DN13_c0_g1_i9","lpl7_b_DN13_c0_g1_i9",1
"lpl7_b_DN13_c0_g2_i1","lpl7_b_DN13_c0_g2_i1",1
"lpl7_b_DN13_c2_g2_i11","lpl7_b_DN13_c2_g2_i11",1
"lpl7_b_DN90_c0_g1_i2","lpl7_b_DN90_c0_g1_i2",1
"lpl7_b_DN17_c0_g1_i2","lpl7_b_DN17_c0_g1_i2",1
"lpl7_b_DN17_c3_g1_i2","lpl7_b_DN17_c3_g1_i2",1
"lpl7_b_DN236_c0_g1_i2","lpl7_b_DN236_c0_g1_i2",1
"lpl7_b_DN211_c0_g1_i2","lpl7_b_DN211_c0_g1_i2",1
"lpl7_b_DN283_c0_g1_i3","lpl7_b_DN283_c0_g1_i3",1
"lpl7_b_DN615_c0_g1_i5","lpl7_b_DN615_c0_g1_i5",1
"lpl7_b_DN2008_c0_g1_i1","lpl7_b_DN2008_c0_g1_i1",1
"lpl7_b_DN1641_c0_g2_i1","lpl7_b_DN1641_c0_g2_i1",1
"lpl7_b_DN542_c0_g1_i11","lpl7_b_DN542_c0_g1_i11",1
"lpl7_b_DN3326_c0_g1_i2","lpl7_b_DN3326_c0_g1_i2",1
"lpl7_b_DN146_c0_g1_i2","lpl7_b_DN146_c0_g1_i2",1
"lpl7_b_DN114_c0_g1_i10","lpl7_b_DN114_c0_g1_i10",1
"lpl7_b_DN199_c0_g1_i9","lpl7_b_DN199_c0_g1_i9",1
"lpl7_c_DN3770_c0_g1_i1","lpl7_c_DN3770_c0_g1_i1",1
"lpl7_c_DN5_c0_g1_i1","lpl7_c_DN5_c0_g1_i1",1
"lpl7_c_DN62_c0_g1_i1","lpl7_c_DN62_c0_g1_i1",1
"lpl7_c_DN11_c0_g1_i11","lpl7_c_DN11_c0_g1_i11",1
"lpl7_c_DN7_c0_g1_i11","lpl7_c_DN7_c0_g1_i11",1
"lpl7_c_DN84_c0_g2_i1","lpl7_c_DN84_c0_g2_i1",1
"lpl7_c_DN4_c0_g2_i1","lpl7_c_DN4_c0_g2_i1",1
"lpl7_c_DN24_c0_g2_i4","lpl7_c_DN24_c0_g2_i4",1
"lpl7_c_DN49_c0_g1_i8","lpl7_c_DN49_c0_g1_i8",1
"lpl7_c_DN6_c0_g1_i12","lpl7_c_DN6_c0_g1_i12",1
"lpl7_c_DN6_c0_g1_i4","lpl7_c_DN6_c0_g1_i4",1
"lpl7_c_DN6_c0_g1_i6","lpl7_c_DN6_c0_g1_i6",1
"lpl7_c_DN32_c0_g1_i2","lpl7_c_DN32_c0_g1_i2",1
"lpl7_c_DN17_c0_g1_i1","lpl7_c_DN17_c0_g1_i1",1
"lpl7_c_DN212_c0_g1_i5","lpl7_c_DN212_c0_g1_i5",1
"lpl7_c_DN2130_c0_g1_i1","lpl7_c_DN2130_c0_g1_i1",1
"lpl7_c_DN2130_c0_g1_i9","lpl7_c_DN2130_c0_g1_i9",1
"lpl7_c_DN2311_c0_g1_i1","lpl7_c_DN2311_c0_g1_i1",1
"lpl7_c_DN14385_c0_g1_i1","lpl7_c_DN14385_c0_g1_i1",1
"lpl7_c_DN373_c0_g1_i8","lpl7_c_DN373_c0_g1_i8",1
"lpl7_c_DN752_c1_g1_i4","lpl7_c_DN752_c1_g1_i4",1
"lpl7_c_DN468_c0_g1_i1","lpl7_c_DN468_c0_g1_i1",1
"lpl7_c_DN468_c0_g1_i8","lpl7_c_DN468_c0_g1_i8",1
"lpl7_c_DN18056_c0_g1_i1","lpl7_c_DN18056_c0_g1_i1",1
"lpl7_c_DN10640_c0_g1_i1","lpl7_c_DN10640_c0_g1_i1",1
"lpl7_c_DN147_c0_g1_i8","lpl7_c_DN147_c0_g1_i8",1
"lpl7_c_DN142_c0_g2_i2","lpl7_c_DN142_c0_g2_i2",1
"lpl7_c_DN170_c0_g2_i10","lpl7_c_DN170_c0_g2_i10",1
"lpl7_c_DN172_c0_g1_i2","lpl7_c_DN172_c0_g1_i2",1
"lpl7_c_DN184_c0_g2_i15","lpl7_c_DN184_c0_g2_i15",1
"mpl4_a_DN40_c0_g1_i7","mpl4_a_DN40_c0_g1_i7",1
"mpl4_a_DN7_c0_g1_i51","mpl4_a_DN7_c0_g1_i51",1
"mpl4_a_DN3_c0_g1_i21","mpl4_a_DN3_c0_g1_i21",1
"mpl4_a_DN8501_c0_g7_i1","mpl4_a_DN8501_c0_g7_i1",3
"mpl4_a_DN819_c0_g1_i22","mpl4_a_DN819_c0_g1_i22",2
"mpl4_a_DN5118_c0_g1_i1","mpl4_a_DN5118_c0_g1_i1",1
"mpl4_a_DN391_c0_g1_i4","mpl4_a_DN391_c0_g1_i4",1
"mpl4_a_DN735_c0_g2_i12","mpl4_a_DN735_c0_g2_i12",1
"mpl4_a_DN2264_c0_g1_i1","mpl4_a_DN2264_c0_g1_i1",3
"mpl4_a_DN1943_c4_g1_i1","mpl4_a_DN1943_c4_g1_i1",3
"mpl4_b_DN27_c0_g1_i1","mpl4_b_DN27_c0_g1_i1",1
"mpl4_b_DN9_c0_g1_i29","mpl4_b_DN9_c0_g1_i29",1
"mpl4_b_DN6_c0_g1_i28","mpl4_b_DN6_c0_g1_i28",1
"mpl4_b_DN3_c0_g1_i21","mpl4_b_DN3_c0_g1_i21",1
"mpl4_c_DN40_c0_g1_i6","mpl4_c_DN40_c0_g1_i6",1
"mpl4_c_DN46_c0_g1_i2","mpl4_c_DN46_c0_g1_i2",1
"mpl5_a_DN37_c0_g1_i23","mpl5_a_DN37_c0_g1_i23",1
"mpl5_a_DN10_c0_g1_i35","mpl5_a_DN10_c0_g1_i35",1
"mpl5_a_DN1544_c2_g1_i1","mpl5_a_DN1544_c2_g1_i1",3
"mpl5_a_DN2306_c0_g1_i12","mpl5_a_DN2306_c0_g1_i12",3
"mpl5_a_DN1034_c0_g2_i1","mpl5_a_DN1034_c0_g2_i1",1
"mpl5_a_DN373_c0_g1_i3","mpl5_a_DN373_c0_g1_i3",1
"mpl5_a_DN386_c0_g1_i6","mpl5_a_DN386_c0_g1_i6",1
"mpl5_a_DN720_c0_g2_i1","mpl5_a_DN720_c0_g2_i1",3
"mpl5_a_DN2778_c0_g2_i2","mpl5_a_DN2778_c0_g2_i2",3
"mpl5_b_DN1_c0_g2_i15","mpl5_b_DN1_c0_g2_i15",1
"mpl5_b_DN9_c0_g1_i11","mpl5_b_DN9_c0_g1_i11",1
"mpl5_b_DN1143_c2_g1_i1","mpl5_b_DN1143_c2_g1_i1",1
"mpl5_b_DN326_c5_g1_i1","mpl5_b_DN326_c5_g1_i1",3
"mpl5_b_DN402_c0_g1_i25","mpl5_b_DN402_c0_g1_i25",3
"mpl5_c_DN10_c0_g1_i26","mpl5_c_DN10_c0_g1_i26",1
"mpl5_c_DN10_c0_g1_i3","mpl5_c_DN10_c0_g1_i3",1
"mpl5_c_DN44_c0_g1_i5","mpl5_c_DN44_c0_g1_i5",1
"mpl5_c_DN76_c0_g1_i7","mpl5_c_DN76_c0_g1_i7",3
"mpl5_c_DN77_c0_g1_i2","mpl5_c_DN77_c0_g1_i2",1
"mpl5_c_DN297_c0_g1_i1","mpl5_c_DN297_c0_g1_i1",3
"mpl5_c_DN605_c0_g1_i1","mpl5_c_DN605_c0_g1_i1",3
"mpl5_c_DN1376_c2_g1_i1","mpl5_c_DN1376_c2_g1_i1",3
"mpl5_c_DN3837_c0_g1_i3","mpl5_c_DN3837_c0_g1_i3",3
"mpl9_a_DN126507_c0_g1_i1","mpl9_a_DN126507_c0_g1_i1",1
"mpl9_a_DN40_c0_g1_i1","mpl9_a_DN40_c0_g1_i1",1
"mpl9_a_DN26_c0_g1_i16","mpl9_a_DN26_c0_g1_i16",1
"mpl9_a_DN26_c0_g1_i3","mpl9_a_DN26_c0_g1_i3",1
"mpl9_a_DN45_c0_g1_i3","mpl9_a_DN45_c0_g1_i3",1
"mpl9_a_DN6_c1_g1_i18","mpl9_a_DN6_c1_g1_i18",1
"mpl9_a_DN6_c1_g1_i7","mpl9_a_DN6_c1_g1_i7",1
"mpl9_a_DN0_c0_g1_i40","mpl9_a_DN0_c0_g1_i40",1
"mpl9_a_DN0_c356_g1_i1","mpl9_a_DN0_c356_g1_i1",1
"mpl9_a_DN1142_c0_g2_i2","mpl9_a_DN1142_c0_g2_i2",1
"mpl9_a_DN27365_c0_g1_i1","mpl9_a_DN27365_c0_g1_i1",1
"mpl9_a_DN20864_c0_g1_i1","mpl9_a_DN20864_c0_g1_i1",1
"mpl9_a_DN54804_c0_g1_i1","mpl9_a_DN54804_c0_g1_i1",1
"mpl9_a_DN45027_c0_g2_i1","mpl9_a_DN45027_c0_g2_i1",1
"mpl9_a_DN10147_c0_g1_i2","mpl9_a_DN10147_c0_g1_i2",2
"mpl9_a_DN301_c0_g1_i4","mpl9_a_DN301_c0_g1_i4",1
"mpl9_a_DN6974_c0_g1_i5","mpl9_a_DN6974_c0_g1_i5",1
"mpl9_b_DN47_c0_g2_i2","mpl9_b_DN47_c0_g2_i2",1
"mpl9_b_DN4_c0_g1_i16","mpl9_b_DN4_c0_g1_i16",1
"mpl9_b_DN4_c0_g1_i8","mpl9_b_DN4_c0_g1_i8",1
"mpl9_b_DN88_c0_g1_i8","mpl9_b_DN88_c0_g1_i8",1
"mpl9_b_DN30_c0_g1_i18","mpl9_b_DN30_c0_g1_i18",1
"mpl9_b_DN9_c0_g1_i6","mpl9_b_DN9_c0_g1_i6",1
"mpl9_b_DN98_c1_g1_i2","mpl9_b_DN98_c1_g1_i2",1
"mpl9_b_DN214_c0_g1_i1","mpl9_b_DN214_c0_g1_i1",1
"mpl9_b_DN1006_c0_g1_i7","mpl9_b_DN1006_c0_g1_i7",2
"mpl9_b_DN2212_c4_g1_i1","mpl9_b_DN2212_c4_g1_i1",1
"mpl9_b_DN2249_c0_g1_i2","mpl9_b_DN2249_c0_g1_i2",1
"mpl9_c_DN97_c0_g4_i1","mpl9_c_DN97_c0_g4_i1",3
"mpl9_c_DN33_c0_g1_i3","mpl9_c_DN33_c0_g1_i3",1
"mpl9_c_DN56_c0_g1_i5","mpl9_c_DN56_c0_g1_i5",1
"mpl9_c_DN4635_c0_g1_i1","mpl9_c_DN4635_c0_g1_i1",1
"mpl9_c_DN1751_c0_g1_i1","mpl9_c_DN1751_c0_g1_i1",1
"mpl9_c_DN389_c0_g1_i11","mpl9_c_DN389_c0_g1_i11",2
"mpl9_c_DN385_c0_g1_i4","mpl9_c_DN385_c0_g1_i4",3
"mpl9_c_DN491_c0_g1_i11","mpl9_c_DN491_c0_g1_i11",1
"mpl9_c_DN491_c0_g1_i25","mpl9_c_DN491_c0_g1_i25",1
"hpl4_a_DN5_c0_g1_i12","hpl4_a_DN5_c0_g1_i12",1
"hpl4_a_DN223_c0_g1_i6","hpl4_a_DN223_c0_g1_i6",1
"hpl4_a_DN108_c0_g1_i13","hpl4_a_DN108_c0_g1_i13",2
"hpl4_b_DN10_c0_g1_i9","hpl4_b_DN10_c0_g1_i9",1
"hpl4_b_DN378_c0_g1_i3","hpl4_b_DN378_c0_g1_i3",1
"hpl4_b_DN148_c0_g2_i1","hpl4_b_DN148_c0_g2_i1",1
"hpl4_b_DN131_c0_g1_i1","hpl4_b_DN131_c0_g1_i1",1
"hpl4_c_DN8_c0_g1_i21","hpl4_c_DN8_c0_g1_i21",1
"hpl4_c_DN18_c0_g2_i2","hpl4_c_DN18_c0_g2_i2",1
"hpl4_c_DN82_c0_g1_i8","hpl4_c_DN82_c0_g1_i8",1
"hpl4_c_DN13_c1_g1_i8","hpl4_c_DN13_c1_g1_i8",1
"hpl7_a_DN37_c0_g1_i13","hpl7_a_DN37_c0_g1_i13",2
"hpl7_a_DN7_c0_g1_i11","hpl7_a_DN7_c0_g1_i11",1
"hpl7_a_DN60_c0_g1_i2","hpl7_a_DN60_c0_g1_i2",2
"hpl7_a_DN0_c0_g1_i10","hpl7_a_DN0_c0_g1_i10",1
"hpl7_a_DN0_c0_g1_i19","hpl7_a_DN0_c0_g1_i19",1
"hpl7_a_DN3_c0_g1_i8","hpl7_a_DN3_c0_g1_i8",3
"hpl7_a_DN1408_c0_g2_i3","hpl7_a_DN1408_c0_g2_i3",1
"hpl7_a_DN3203_c0_g1_i4","hpl7_a_DN3203_c0_g1_i4",3
"hpl7_a_DN7531_c2_g1_i1","hpl7_a_DN7531_c2_g1_i1",2
"hpl7_a_DN525_c0_g1_i1","hpl7_a_DN525_c0_g1_i1",1
"hpl7_a_DN403_c0_g1_i14","hpl7_a_DN403_c0_g1_i14",2
"hpl7_a_DN2950_c0_g1_i11","hpl7_a_DN2950_c0_g1_i11",2
"hpl7_a_DN122_c0_g1_i8","hpl7_a_DN122_c0_g1_i8",1
"hpl7_b_DN89_c0_g1_i2","hpl7_b_DN89_c0_g1_i2",3
"hpl7_b_DN18_c0_g1_i12","hpl7_b_DN18_c0_g1_i12",1
"hpl7_b_DN18_c0_g1_i3","hpl7_b_DN18_c0_g1_i3",2
"hpl7_b_DN18_c0_g1_i31","hpl7_b_DN18_c0_g1_i31",3
"hpl7_b_DN95_c0_g1_i1","hpl7_b_DN95_c0_g1_i1",3
"hpl7_b_DN39_c0_g1_i12","hpl7_b_DN39_c0_g1_i12",3
"hpl7_b_DN20_c0_g1_i8","hpl7_b_DN20_c0_g1_i8",1
"hpl7_b_DN4673_c0_g1_i1","hpl7_b_DN4673_c0_g1_i1",1
"hpl7_b_DN2147_c2_g1_i1","hpl7_b_DN2147_c2_g1_i1",1
"hpl7_b_DN22494_c0_g1_i1","hpl7_b_DN22494_c0_g1_i1",3
"hpl7_b_DN4385_c0_g2_i3","hpl7_b_DN4385_c0_g2_i3",1
"hpl7_b_DN756_c0_g1_i2","hpl7_b_DN756_c0_g1_i2",1
"hpl7_c_DN8_c0_g1_i67","hpl7_c_DN8_c0_g1_i67",1
"hpl7_c_DN52_c0_g2_i2","hpl7_c_DN52_c0_g2_i2",1
"hpl7_c_DN2_c3_g1_i2","hpl7_c_DN2_c3_g1_i2",1
"hpl7_c_DN14_c0_g1_i15","hpl7_c_DN14_c0_g1_i15",1
"hpl7_c_DN4_c0_g1_i4","hpl7_c_DN4_c0_g1_i4",1
"hpl7_c_DN15_c0_g1_i2","hpl7_c_DN15_c0_g1_i2",2
"hpl7_c_DN136_c0_g1_i5","hpl7_c_DN136_c0_g1_i5",3
"hpl8_a_DN21_c0_g1_i5","hpl8_a_DN21_c0_g1_i5",1
"hpl8_a_DN1_c1_g1_i34","hpl8_a_DN1_c1_g1_i34",2
"hpl8_a_DN1_c1_g1_i42","hpl8_a_DN1_c1_g1_i42",3
"hpl8_a_DN1_c1_g1_i8","hpl8_a_DN1_c1_g1_i8",1
"hpl8_a_DN33_c0_g1_i8","hpl8_a_DN33_c0_g1_i8",2
"hpl8_a_DN56_c0_g1_i3","hpl8_a_DN56_c0_g1_i3",3
"hpl8_a_DN82_c0_g1_i17","hpl8_a_DN82_c0_g1_i17",2
"hpl8_a_DN13_c0_g1_i3","hpl8_a_DN13_c0_g1_i3",1
"hpl8_a_DN237_c0_g1_i5","hpl8_a_DN237_c0_g1_i5",2
"hpl8_a_DN225_c0_g1_i1","hpl8_a_DN225_c0_g1_i1",3
"hpl8_a_DN213_c0_g1_i1","hpl8_a_DN213_c0_g1_i1",1
"hpl8_a_DN639_c0_g1_i3","hpl8_a_DN639_c0_g1_i3",3
"hpl8_a_DN13554_c0_g1_i1","hpl8_a_DN13554_c0_g1_i1",1
"hpl8_a_DN346_c0_g1_i1","hpl8_a_DN346_c0_g1_i1",1
"hpl8_a_DN4769_c0_g2_i1","hpl8_a_DN4769_c0_g2_i1",2
"hpl8_a_DN151_c0_g1_i18","hpl8_a_DN151_c0_g1_i18",1
"hpl8_b_DN8_c2_g1_i11","hpl8_b_DN8_c2_g1_i11",1
"hpl8_b_DN8_c2_g1_i6","hpl8_b_DN8_c2_g1_i6",1
"hpl8_b_DN62_c0_g1_i1","hpl8_b_DN62_c0_g1_i1",1
"hpl8_b_DN1_c0_g1_i5","hpl8_b_DN1_c0_g1_i5",1
"hpl8_b_DN2_c0_g1_i23","hpl8_b_DN2_c0_g1_i23",1
"hpl8_b_DN27_c0_g1_i6","hpl8_b_DN27_c0_g1_i6",1
"hpl8_b_DN20_c0_g1_i1","hpl8_b_DN20_c0_g1_i1",1
"hpl8_b_DN31683_c0_g1_i1","hpl8_b_DN31683_c0_g1_i1",3
"hpl8_b_DN590_c0_g1_i5","hpl8_b_DN590_c0_g1_i5",3
"hpl8_b_DN114_c0_g1_i5","hpl8_b_DN114_c0_g1_i5",3
"hpl8_b_DN137_c1_g1_i4","hpl8_b_DN137_c1_g1_i4",1
"hpl8_b_DN172_c0_g1_i1","hpl8_b_DN172_c0_g1_i1",3
"hpl8_c_DN85_c0_g1_i2","hpl8_c_DN85_c0_g1_i2",1
"hpl8_c_DN38_c0_g1_i7","hpl8_c_DN38_c0_g1_i7",3
"hpl8_c_DN61_c0_g1_i7","hpl8_c_DN61_c0_g1_i7",3
"hpl8_c_DN4_c47_g1_i1","hpl8_c_DN4_c47_g1_i1",1
"hpl8_c_DN1559_c0_g2_i5","hpl8_c_DN1559_c0_g2_i5",1
"hpl8_c_DN718_c1_g1_i2","hpl8_c_DN718_c1_g1_i2",1
